"Lap","Tempo","Tempo cumulato","Distanza","Passo medio","GAP medio","FC Media","FC max","Ascesa totale","Discesa totale","Potenza media","W/kg medio","Potenza max","W/kg massimo","Cadenza di corsa media","Tempo medio di contatto con il suolo","Media bilanciamento TCS","Lunghezza media passo","Oscillazione verticale media","Rapporto verticale medio","Calorie","Temperatura med","Passo migliore","Cadenza di corsa max","Tempo in movimento","Passo medio in movimento"
"1","7:08.1","7:08,1","1,00","7:08","","135","149","","","","","","","161","","","0,87","","","72","","6:37","171","7:08","7:08"
"2","6:50.2","13:58","1,00","6:50","","150","154","7","13","","","","","160","","","0,92","","","76","","6:34","165","6:50,2","6:50"
"3","6:46.5","20:45","1,00","6:47","","156","161","15","10","","","","","158","","","0,93","","","77","","6:24","161","6:46,5","6:47"
"4","6:54.4","27:39","1,00","6:54","","157","163","11","13","","","","","158","","","0,91","","","75","","6:41","161","6:54","6:54"
"5","7:08.0","34:47","1,00","7:08","","157","161","11","9","","","","","156","","","0,90","","","76","","6:46","161","7:08","7:08"
"6","7:04.1","41:51","1,00","7:04","","160","164","7","","","","","","156","","","0,91","","","75","","6:51","159","7:04,1","7:04"
"7","7:10.3","49:02","1,00","7:10","","162","166","5","5","","","","","156","","","0,89","","","77","","6:51","161","7:10","7:10"
"8","7:04.4","56:06","1,00","7:04","","164","167","","16","","","","","157","","","0,90","","","77","","6:49","161","7:04","7:04"
"9","6:59.8","1:03:06","1,00","7:00","","168","170","9","","","","","","159","","","0,90","","","78","","6:47","163","6:59,8","7:00"
"10","6:42.2","1:09:48","1,00","6:42","","171","177","","2","","","","","162","","","0,92","","","77","","6:08","172","6:42","6:42"
